Frame,Ear Value,Abnormal Blink,PERCLOS,Alarm Level
0,0.203,0,0.00,0
1,0.207,0,0.00,0
2,0.237,1,0.00,0
3,0.187,1,0.00,0
4,0.186,1,0.00,0
5,0.157,1,0.00,0
6,0.176,1,0.00,0
7,0.203,1,0.00,0
8,0.205,1,0.00,0
9,0.168,1,0.00,0
10,0.215,1,0.00,0
11,0.189,1,0.00,0
12,0.183,1,0.00,0
13,0.191,1,0.00,0
14,0.176,1,0.00,0
15,0.191,1,0.00,0
16,0.190,1,0.00,0
17,0.184,1,0.00,0
18,0.192,1,0.00,0
19,0.187,1,0.00,0
20,0.170,1,0.00,0
21,0.207,1,0.00,0
22,0.195,1,0.00,0
23,0.204,1,0.00,0
24,0.213,1,0.00,0
25,0.229,1,0.00,0
26,0.188,1,0.00,0
27,0.248,1,0.00,0
28,0.215,1,0.00,0
29,0.224,1,0.00,0
30,0.213,1,0.00,0
31,0.229,1,0.00,0
32,0.243,1,0.00,0
33,0.222,1,0.00,0
34,0.232,1,0.00,0
35,0.229,1,0.00,0
36,0.230,1,0.00,0
37,0.203,1,0.00,0
38,0.207,1,0.00,0
39,0.249,1,0.00,0
40,0.245,1,0.00,0
41,0.277,1,0.00,0
42,0.278,1,0.00,0
43,0.244,1,0.00,0
44,0.240,1,0.00,0
45,0.225,1,0.00,0
46,0.240,1,0.00,0
47,0.267,1,0.00,0
48,0.263,1,0.00,0
49,0.261,1,0.00,0
50,0.258,1,0.00,0
51,0.259,1,0.00,0
52,0.268,1,0.00,0
53,0.277,1,0.00,0
54,0.259,1,0.00,0
55,0.277,1,0.00,0
56,0.333,0,0.00,0
57,0.317,0,0.00,0
58,0.314,0,0.00,0
59,0.314,0,0.00,0
60,0.326,0,0.00,0
61,0.314,0,0.00,0
62,0.315,0,0.00,0
63,0.347,0,0.00,0
64,0.351,0,0.00,0
65,0.337,0,0.00,0
66,0.307,0,0.00,0
67,0.326,0,0.00,0
68,0.326,0,0.00,0
69,0.307,0,0.00,0
70,0.317,0,0.00,0
71,0.309,0,0.00,0
72,0.290,0,0.00,0
73,0.312,0,0.00,0
74,0.290,0,0.00,0
75,0.262,0,0.00,0
76,0.261,1,0.00,0
77,0.279,1,0.00,0
78,0.298,1,0.00,0
79,0.267,1,0.00,0
80,0.310,0,0.00,0
81,0.269,0,0.00,0
82,0.305,0,0.00,0
83,0.290,0,0.00,0
84,0.270,0,0.00,0
85,0.307,0,0.00,0
86,0.271,0,0.00,0
87,0.288,0,0.00,0
88,0.267,1,0.00,0
89,0.269,1,0.00,0
90,0.280,1,0.00,0
91,0.290,1,0.00,0
92,0.229,1,0.00,0
93,0.269,1,0.00,0
94,0.230,1,0.00,0
95,0.268,1,0.00,0
96,0.272,1,0.00,0
97,0.268,1,0.00,0
98,0.243,1,0.00,0
99,0.233,1,0.00,0
100,0.288,1,0.00,0
101,0.262,1,0.00,0
102,0.255,1,0.00,0
103,0.272,1,0.00,0
104,0.268,1,0.00,0
105,0.272,1,0.00,0
106,0.233,1,0.00,0
107,0.279,1,0.00,0
108,0.272,1,0.00,0
109,0.264,1,0.00,0
110,0.265,1,0.00,0
111,0.272,1,0.00,0
112,0.233,1,0.00,0
113,0.272,1,0.00,0
114,0.273,1,0.00,0
115,0.272,1,0.00,0
116,0.272,1,0.00,0
117,0.307,0,0.00,0
118,0.271,0,0.00,0
119,0.272,0,0.00,0
120,0.326,0,0.00,0
121,0.307,0,0.00,0
122,0.307,0,0.00,0
123,0.307,0,0.00,0
124,0.252,0,0.00,0
125,0.309,0,0.00,0
126,0.288,0,0.00,0
127,0.296,0,0.00,0
128,0.290,1,0.00,0
129,0.252,1,0.00,0
130,0.282,1,0.00,0
131,0.279,1,0.00,0
132,0.256,1,0.00,0
133,0.299,1,0.00,0
134,0.290,1,0.00,0
135,0.291,1,0.00,0
136,0.288,1,0.00,0
137,0.288,1,0.00,0
138,0.298,1,0.00,0
139,0.259,1,0.00,0
140,0.259,1,0.00,0
141,0.268,1,0.00,0
142,0.307,0,0.00,0
143,0.233,0,0.00,0
144,0.269,0,0.00,0
145,0.307,0,0.00,0
146,0.268,0,0.00,0
147,0.259,0,0.00,0
148,0.234,1,0.00,0
149,0.252,1,0.00,0
150,0.291,1,0.00,0
151,0.262,1,0.00,0
152,0.290,1,0.00,0
153,0.272,1,0.00,0
154,0.268,1,0.00,0
155,0.271,1,0.00,0
156,0.252,1,0.00,0
157,0.262,1,0.00,0
158,0.243,1,0.00,0
159,0.234,1,0.00,0
160,0.249,1,0.00,0
161,0.244,1,0.00,0
162,0.233,1,0.00,0
163,0.268,1,0.00,0
164,0.252,1,0.00,0
165,0.268,1,0.00,0
166,0.214,1,0.00,0
167,0.233,1,0.00,0
168,0.233,1,0.00,0
169,0.236,1,0.00,0
170,0.252,1,0.00,0
171,0.236,1,0.00,0
172,0.233,1,0.00,0
173,0.233,1,0.00,0
174,0.212,1,0.00,0
175,0.233,1,0.00,0
176,0.230,1,0.00,0
177,0.214,1,0.00,0
178,0.214,1,0.00,0
179,0.228,1,0.00,0
180,0.214,1,0.00,0
181,0.225,1,0.00,0
182,0.214,1,0.00,0
183,0.233,1,0.00,0
184,0.230,1,0.00,0
185,0.225,1,0.00,0
186,0.283,1,0.00,0
187,0.214,1,0.00,0
188,0.230,1,0.00,0
189,0.225,1,0.00,0
190,0.236,1,0.00,0
191,0.233,1,0.00,0
192,0.254,1,0.00,0
193,0.225,1,0.00,0
194,0.222,1,0.00,0
195,0.246,1,0.00,0
196,0.233,1,0.00,0
197,0.252,1,0.00,0
198,0.240,1,0.00,0
199,0.229,1,0.00,0
200,0.213,1,0.00,0
201,0.223,1,0.00,0
202,0.221,1,0.00,0
203,0.249,1,0.00,0
204,0.212,1,0.00,0
205,0.252,1,0.00,0
206,0.209,1,0.00,0
207,0.233,1,0.00,0
208,0.232,1,0.00,0
209,0.226,1,0.00,0
210,0.286,1,0.00,0
211,0.268,1,0.00,0
212,0.252,1,0.00,0
213,0.252,1,0.00,0
214,0.233,1,0.00,0
215,0.251,1,0.00,0
216,0.270,1,0.00,0
217,0.240,1,0.00,0
218,0.242,1,0.00,0
219,0.285,1,0.00,0
220,0.252,1,0.00,0
221,0.224,1,0.00,0
222,0.242,1,0.00,0
223,0.210,1,0.00,0
224,0.270,1,0.00,0
225,0.214,1,0.00,0
226,0.252,1,0.00,0
227,0.196,1,0.00,0
228,0.252,1,0.00,0
229,0.232,1,0.00,0
230,0.273,1,0.00,0
231,0.238,1,0.00,0
232,0.221,1,0.00,0
233,0.261,1,0.00,0
234,0.265,1,0.00,0
235,0.214,1,0.00,0
236,0.191,1,0.00,0
237,0.264,1,0.00,0
238,0.194,1,0.00,0
239,0.204,1,0.00,0
240,0.210,1,0.00,0
241,0.218,1,0.00,0
242,0.213,1,0.00,0
243,0.225,1,0.00,0
244,0.195,1,0.00,0
245,0.218,1,0.00,0
