Frame,Ear Value,Abnormal Blink,PERCLOS,Alarm Level,awake,sdrowsy,drowsy
0,0.334,0,0.00,0,1,0,0
1,0.318,0,0.00,0,2,0,0
2,0.291,0,0.00,0,3,0,0
3,0.314,0,0.00,0,4,0,0
4,0.307,0,0.00,0,5,0,0
5,0.300,0,0.00,0,6,0,0
6,0.329,0,0.00,0,7,0,0
7,0.341,0,0.00,0,8,0,0
8,0.305,0,0.00,0,9,0,0
9,0.312,0,0.00,0,10,0,0
10,0.316,0,0.00,0,11,0,0
11,0.306,0,0.00,0,12,0,0
12,0.317,0,0.00,0,13,0,0
13,0.339,0,0.00,0,14,0,0
14,0.302,0,0.00,0,15,0,0
15,0.305,0,0.00,0,16,0,0
16,0.292,0,0.00,0,17,0,0
17,0.318,0,0.00,0,18,0,0
18,0.311,0,0.00,0,19,0,0
19,0.238,0,0.00,0,20,0,0
20,0.141,0,0.00,0,21,0,0
21,0.158,0,0.00,0,22,0,0
22,0.249,1,0.00,0,23,0,0
23,0.270,1,0.00,0,24,0,0
24,0.254,1,0.00,0,25,0,0
25,0.289,1,0.00,0,26,0,0
26,0.250,1,0.00,0,27,0,0
27,0.277,1,0.00,0,28,0,0
28,0.270,1,0.00,0,29,0,0
29,0.262,1,0.00,0,30,0,0
30,0.259,1,0.00,0,31,0,0
31,0.254,1,0.00,0,32,0,0
32,0.300,0,0.00,0,33,0,0
33,0.306,0,0.00,0,34,0,0
34,0.295,0,0.00,0,35,0,0
35,0.292,0,0.00,0,36,0,0
36,0.279,0,0.00,0,37,0,0
37,0.317,0,0.00,0,38,0,0
38,0.321,0,0.00,0,39,0,0
39,0.316,0,0.00,0,40,0,0
40,0.313,0,0.00,0,41,0,0
41,0.318,0,0.00,0,42,0,0
42,0.318,0,0.00,0,43,0,0
43,0.343,0,0.00,0,44,0,0
44,0.319,0,0.00,0,45,0,0
45,0.354,0,0.00,0,46,0,0
46,0.315,0,0.00,0,47,0,0
47,0.338,0,0.00,0,48,0,0
48,0.337,0,0.00,0,49,0,0
49,0.335,0,0.00,0,50,0,0
50,0.403,0,0.00,0,51,0,0
51,0.340,0,0.00,0,52,0,0
52,0.278,0,0.00,0,53,0,0
53,0.337,0,0.00,0,54,0,0
54,0.270,0,0.00,0,55,0,0
55,0.267,0,0.00,0,56,0,0
56,0.264,0,0.00,0,57,0,0
57,0.289,1,0.00,0,58,0,0
58,0.284,1,0.00,0,59,0,0
59,0.253,1,0.00,0,60,0,0
60,0.313,0,0.00,0,61,0,0
61,0.289,0,0.00,0,62,0,0
62,0.324,0,0.00,0,63,0,0
63,0.321,0,0.00,0,64,0,0
64,0.271,0,0.00,0,65,0,0
65,0.345,0,0.00,0,66,0,0
66,0.154,0,0.00,0,67,0,0
67,0.161,0,0.00,0,68,0,0
68,0.195,0,0.00,0,69,0,0
69,0.222,1,0.00,0,70,0,0
70,0.251,1,0.00,0,71,0,0
71,0.293,1,0.00,0,72,0,0
72,0.303,0,0.00,0,73,0,0
73,0.261,0,0.00,0,74,0,0
74,0.268,0,0.00,0,75,0,0
75,0.273,0,0.00,0,76,0,0
76,0.285,1,0.00,0,77,0,0
77,0.289,1,0.00,0,78,0,0
78,0.299,1,0.00,0,79,0,0
79,0.262,1,0.00,0,80,0,0
80,0.326,0,0.00,0,81,0,0
81,0.299,0,0.00,0,82,0,0
82,0.285,0,0.00,0,83,0,0
83,0.304,0,0.00,0,84,0,0
84,0.159,0,0.00,0,85,0,0
85,0.123,0,0.00,0,86,0,0
86,0.139,0,0.00,0,87,0,0
87,0.128,1,0.00,0,88,0,0
88,0.120,1,0.00,0,89,0,0
89,0.132,1,0.00,0,90,0,0
90,0.117,1,0.00,0,91,0,0
91,0.130,1,0.00,0,92,0,0
92,0.161,1,0.00,0,93,0,0
93,0.177,1,0.00,0,94,0,0
94,0.158,1,0.00,0,95,0,0
95,0.161,1,0.00,0,96,0,0
96,0.173,1,0.00,0,97,0,0
97,0.159,1,0.00,0,98,0,0
98,0.159,1,0.00,0,99,0,0
99,0.130,1,0.00,0,100,0,0
100,0.134,1,0.00,0,101,0,0
101,0.153,1,0.00,0,102,0,0
102,0.162,1,0.00,0,103,0,0
103,0.141,1,0.00,0,104,0,0
104,0.159,1,0.00,0,105,0,0
105,0.143,1,0.00,0,106,0,0
106,0.242,1,0.00,0,107,0,0
107,0.290,1,0.00,0,108,0,0
108,0.330,0,0.00,0,109,0,0
109,0.339,0,0.00,0,110,0,0
110,0.355,0,0.00,0,111,0,0
111,0.305,0,0.00,0,112,0,0
112,0.321,0,0.00,0,113,0,0
113,0.305,0,0.00,0,114,0,0
114,0.329,0,0.00,0,115,0,0
115,0.333,0,0.00,0,116,0,0
116,0.334,0,0.00,0,117,0,0
117,0.298,0,0.00,0,118,0,0
118,0.293,0,0.00,0,119,0,0
119,0.317,0,0.00,0,120,0,0
120,0.312,0,0.00,0,121,0,0
121,0.318,0,0.00,0,122,0,0
122,0.333,0,0.00,0,123,0,0
123,0.325,0,0.00,0,124,0,0
124,0.341,0,0.00,0,125,0,0
125,0.341,0,0.00,0,126,0,0
126,0.300,0,0.00,0,127,0,0
127,0.359,0,0.00,0,128,0,0
128,0.330,0,0.00,0,129,0,0
129,0.318,0,0.00,0,130,0,0
130,0.307,0,0.00,0,131,0,0
131,0.321,0,0.00,0,132,0,0
132,0.338,0,0.00,0,133,0,0
133,0.326,0,0.00,0,134,0,0
134,0.292,0,0.00,0,135,0,0
135,0.307,0,0.00,0,136,0,0
136,0.314,0,0.00,0,137,0,0
137,0.319,0,0.00,0,138,0,0
138,0.321,0,0.00,0,139,0,0
139,0.346,0,0.00,0,140,0,0
140,0.321,0,0.00,0,141,0,0
141,0.297,0,0.00,0,142,0,0
142,0.309,0,0.00,0,143,0,0
143,0.321,0,0.00,0,144,0,0
144,0.307,0,0.00,0,145,0,0
145,0.350,0,0.00,0,146,0,0
146,0.309,0,0.00,0,147,0,0
147,0.321,0,0.00,0,148,0,0
148,0.321,0,0.00,0,149,0,0
149,0.346,0,0.00,0,150,0,0
150,0.326,0,0.00,0,151,0,0
151,0.358,0,0.00,0,152,0,0
152,0.333,0,0.00,0,153,0,0
153,0.346,0,0.00,0,154,0,0
154,0.357,0,0.00,0,155,0,0
155,0.322,0,0.00,0,156,0,0
156,0.322,0,0.00,0,157,0,0
157,0.326,0,0.00,0,158,0,0
158,0.340,0,0.00,0,159,0,0
159,0.321,0,0.00,0,160,0,0
160,0.322,0,0.00,0,161,0,0
161,0.327,0,0.00,0,162,0,0
162,0.358,0,0.00,0,163,0,0
163,0.314,0,0.00,0,164,0,0
164,0.301,0,0.00,0,165,0,0
165,0.307,0,0.00,0,166,0,0
166,0.320,0,0.00,0,167,0,0
167,0.325,0,0.00,0,168,0,0
168,0.290,0,0.00,0,169,0,0
169,0.316,0,0.00,0,170,0,0
170,0.325,0,0.00,0,171,0,0
171,0.339,0,0.00,0,172,0,0
172,0.319,0,0.00,0,173,0,0
173,0.316,0,0.00,0,174,0,0
174,0.312,0,0.00,0,175,0,0
175,0.328,0,0.00,0,176,0,0
176,0.384,0,0.00,0,177,0,0
177,0.327,0,0.00,0,178,0,0
178,0.293,0,0.00,0,179,0,0
179,0.294,0,0.00,0,180,0,0
180,0.164,0,0.00,0,181,0,0
181,0.214,1,0.00,0,182,0,0
182,0.170,1,0.00,0,183,0,0
183,0.170,1,0.00,0,184,0,0
184,0.171,1,0.00,0,185,0,0
185,0.162,1,0.00,0,186,0,0
186,0.177,1,0.00,0,187,0,0
187,0.198,1,0.00,0,188,0,0
188,0.192,1,0.00,0,189,0,0
189,0.206,1,0.00,0,190,0,0
190,0.185,1,0.00,0,191,0,0
191,0.174,1,0.00,0,192,0,0
192,0.172,1,0.00,0,193,0,0
193,0.230,1,0.00,0,194,0,0
194,0.301,0,0.00,0,195,0,0
195,0.331,0,0.00,0,196,0,0
196,0.328,0,0.00,0,197,0,0
197,0.330,0,0.00,0,198,0,0
198,0.303,0,0.00,0,199,0,0
199,0.305,0,0.00,0,200,0,0
200,0.331,0,0.00,0,201,0,0
201,0.347,0,0.00,0,202,0,0
202,0.330,0,0.00,0,203,0,0
203,0.310,0,0.00,0,204,0,0
204,0.314,0,0.00,0,205,0,0
205,0.330,0,0.00,0,206,0,0
206,0.314,0,0.00,0,207,0,0
207,0.317,0,0.00,0,208,0,0
208,0.311,0,0.00,0,209,0,0
209,0.340,0,0.00,0,210,0,0
